Name,Category,Rating,Reviews,Location_Area,Has_Website
AnnaMaya FoodHall - Andaz Delhi,Restaurant,4.6,4174,New Delhi,1
Food Exchange,Buffet Restaurant,4.7,1681,New Delhi,1
"Kiyan, New Delhi",Fine Dining Restaurant,4.5,1491,New Delhi,1
K3 - New Delhi's Food Theatre,Buffet Restaurant,4.5,1514,New Delhi,1
Daryaganj Restaurant,North Indian Restaurant,4.4,3861,New Delhi,1
Al-Dijaaj,North Indian Restaurant,4.6,299,New Delhi,0
Republic of Noodles By Lemon Tree,Restaurant,4.7,51,New Delhi,1
New Brick House Restaurant,North Indian Restaurant,4.3,159,"Delhi, New Delhi",0
Juniper Bar - Andaz Delhi,Restaurant,4.7,869,New Delhi,1
The Eatery,Restaurant,4.5,161,New Delhi,0
NYC Restaurant,Buffet Restaurant,4.3,529,New Delhi,1
Soul Pantry - Andaz Delhi,Cafe,4.6,209,New Delhi,1
Monsoon,Modern Indian Restaurant,4.6,446,New Delhi,1
Adrift Kaya,Japanese Restaurant,4.7,483,New Delhi,1
Xero Degrees,Fast Food Restaurant,4.7,4004,"New Delhi, Delhi",1
The BawarchiKhana Restaurant | Best Restaurant in Mahipalpur,Restaurant,4.3,272,New Delhi,0
Simpy's Cafe The Best family Restaurant,Cafe,4.9,451,"New Delhi, Delhi",0
Bites And Brew - Cafe and Diner (Vikaspuri),Cafe,4.4,951,"New Delhi, Delhi",1
The Walters Cafe,Continental Restaurant,4.8,364,Delhi,1
Cafe Pride,North Indian Restaurant,4.7,486,New Delhi,1
Sehat Cafe,Cafe,4.3,386,"New Delhi, Delhi",0
Café Coffee Day,Cafe,4.1,1647,New Delhi,1
Nua-cafe Aerocity,Cafe,4.1,204,New Delhi,1
Cafe Delhi Heights,Cafe,4.1,1489,New Delhi,1
Old door cafe lounge and Hooka,Hookah Bar,4.5,142,"New Delhi, Delhi",0
Café Tree,Cafe,3.9,228,Delhi,0
Yara - Terrace Cafe,Cafe,4.3,159,Delhi,0
"Laidback Cafe - Vegas Mall, Dwarka",Continental Restaurant,4.4,602,Delhi,0
Cafe Olives 51,Cafe,4.4,200,"New Delhi, Delhi",0
Stilton Cafe,American Restaurant,4.6,355,New Delhi,0
Pocket friendly cafe,Restaurant,4.4,39,"New Delhi, Delhi",0
Cafe Dwarka Heights,Cafe,4.7,87,Delhi,0
Brucha coffee,Cafe,4.3,451,"New Delhi, Delhi",0
Got Tea | Vasant Kunj,Cafe,4.7,351,New Delhi,1
Donut Bakery Cafe,Bakery,4.7,351,"New Delhi, Delhi",0
Cafe Stela,Cafe,4.3,219,"New Delhi, Delhi",1
TeaOne Cafe and Restaurant,Cafe,4.5,181,"New Delhi, Delhi",1
The Flavour's Cafe,Restaurant,4.8,68,"New Delhi, Delhi",0
The Punterhouse Café Reloaded,Restaurant,4.0,1845,"New Delhi, Delhi",0
Reve Bistro Moderne,Bistro,4.4,367,New Delhi,1
Saffron Biryani,Biryani Restaurant,4.5,1078,"Delhi, New Delhi",1
Capital Restaurant,North Indian Restaurant,4.2,498,New Delhi,0
Kitchen District - Hyatt Centric Janakpuri New Delhi,North Indian Restaurant,4.4,255,"New Delhi, Delhi",1
Mesa Kitchen & Bar,European Restaurant,4.3,437,New Delhi,0
L'Osteria Bella - Aerocity's Top Italian Restaurant & Pizzeria,Italian Restaurant,4.6,865,New Delhi,1
Sher E DiL | Restaurant & Party Hall,Restaurant,4.2,676,"New Delhi, Delhi",1
Delhi Barbeque,Restaurant,3.9,449,New Delhi,0
Kheer - Roseate House,North Indian Restaurant,4.4,1004,New Delhi,1
"Dhaba Estd. 1986 Delhi, Aerocity",North Indian Restaurant,4.0,1004,New Delhi,1
Delhi Dusk Delights,North Indian Restaurant,4.2,141,"New Delhi, Delhi",0
Farmers' Basket At Pluck,Buffet Restaurant,4.6,1067,New Delhi,1
The Upma & Curry leaves - Best Upma in Delhi,South Indian Restaurant,5.0,14,"New Delhi, Delhi",0
Delhi Restaurant,Fast Food Restaurant,4.1,177,Delhi,0
Delhi Ke Nakhre,Restaurant,4.6,65,"New Delhi, Delhi",0
Strength The Gym & Spa,Gym,4.9,752,"New Delhi, Delhi",1
IRON BONE GYM & SPA,Gym,4.6,214,"New Delhi, Delhi",0
"Pro Ultimate Gyms - Mahavir Enclave, New Delhi",Gym,4.8,803,"New Delhi, Delhi",0
Health Fit Gym,Fitness Center,4.8,180,"New Delhi, Delhi",1
IRON WARRIORS THE GYM,Gym,4.8,106,"New Delhi, Delhi",0
G.O.A.T GYM,Gym,4.9,178,"New Delhi, Delhi",1
STRENGTH THE GYM & AEROBICS -BEST n LARGEST GYM of Uttam Nagar,Gym,4.8,789,"New Delhi, Delhi",1
Surya Gym - Mahavir Enclave,Gym,4.8,383,"New Delhi, Delhi",1
"cult neo gym Uttam Nagar | Best Gym in Uttam Nagar, Delhi",Gym,4.7,239,Delhi,1
RJ Fitness Gym and Spa,Gym,4.9,103,Delhi,0
Get Fit Gym Best Gym | Gym | Personal Training Gym | Fitness Gym In Dwarka,Fitness Center,4.9,381,"New Delhi, Delhi",1
Dronacharya The Gym & Spa,Gym,4.7,1052,"New Delhi, Delhi",0
Fitness 24/7,Gym,4.8,284,"New Delhi, Delhi",0
ULTIMATE MUSCLE GYM BEST LUXURY GYM RANKED NO #1 IN PALAM,Gym,4.6,127,"New Delhi, Delhi",0
Just Fitt Gym,Gym,4.7,595,Delhi,1
Thrive Gym,Gym,4.9,221,"New Delhi, Delhi",1
Sparta Gym,Gym,4.6,1095,Delhi,0
The Wellness Club Gym Xpress Mohan Garden,Gym,4.9,126,"New Delhi, Delhi",1
Fitlean Fitness,Gym,4.8,1202,"New Delhi, Delhi",1
MANGO Salon,Beauty Salon,4.8,2456,Delhi,1
OUD LUXURY SALON & ACADEMY | Best Salon | Hair Salon | Makeup Artist In Delhi,Make-Up Artist,4.7,2532,Delhi,1
"Geetanjali Salon - HL Wings, New Delhi",Beauty Salon,4.6,2617,"New Delhi, Delhi",1
Geetanjali Salon,Hair Salon,4.6,1486,"New Delhi, Delhi",1
Hair Ideas Salon,Beauty Salon,4.8,284,"New Delhi, Delhi",1
GAURAV UNISEX SALON,Hairdresser,4.8,892,"New Delhi, Delhi",1
TR Salon unisex,Hair Salon,5.0,539,"New Delhi, Delhi",0
THE HAIR OFFICE LUXURY SALON,Make-Up Artist,4.5,532,Delhi,1
Flip N Fit Gym,Gym,4.7,125,"New Delhi, Delhi",1
First Fitness Gym,Gym,4.8,292,New Delhi,0
Anytime Fitness,Gym,4.1,429,"New Delhi, Delhi",1
FIT I'M Gym N Spa,Gym,4.3,124,"New Delhi, Delhi",1
One o one fitness,Gym,4.9,132,Delhi,0
Bfit gym,Gym,4.4,359,"New Delhi, Delhi",0
Veers Gym,Gym,4.7,373,"New Delhi, Delhi",1
LKY FITNESS GYM & SPA(CLUB),Gym,4.5,125,Delhi,0
"Pro Ultimate Gyms - Uttam Nagar, Delhi",Gym,4.5,235,Delhi,1
"cult neo gym Mahavir Enclave | Best Gym in Mahavir Enclave, Delhi",Gym,4.6,184,Delhi,1
Salon9teen,Beauty Salon,4.9,790,New Delhi,1
"Varun Attri Unisex Salon | Makeup | Academy in Naraina, New Delhi",Beauty Salon,4.7,2827,New Delhi,1
"Geetanjali Salon - Rajouri Garden, New Delhi",Beauty Salon,4.7,2715,"New Delhi, Delhi",1
NEW HAIR MIRACLE UNISEX SALON,Beauty Salon,4.8,343,"New Delhi, Delhi",0
"CUT&STYLE Salon - Janakpuri, New Delhi",Beauty Salon,4.8,1555,"New Delhi, Delhi",1
Aledentz Dental & Medical Center Delhi NCR,Dental Clinic,4.9,457,"New Delhi, Delhi",1
"Clove Dental Clinic - Sector 19, Dwarka, Delhi",Dental Clinic,4.9,1800,"New Delhi, Delhi",1
"Clove Dental Clinic - Palam, Dwarka, Delhi",Dental Clinic,4.9,1266,"New Delhi, Delhi",1
"Clove Dental Clinic - Sector 7, Dwarka, Delhi",Dental Clinic,4.9,1341,"New Delhi, Delhi",1
"Clove Dental Clinic - Tilak Nagar, Delhi",Dental Clinic,4.9,1087,"New Delhi, Delhi",1
"Clove Dental Clinic - Sector 10, Dwarka, Delhi",Dental Clinic,4.9,1430,"New Delhi, Delhi",1
"Clove Dental Clinic - Sector 12, Dwarka, Delhi",Dental Clinic,4.9,1416,"New Delhi, Delhi",1
