Name,Category,Rating,Reviews,Location_Area,Has_Website
Looks Salon,Hairdresser,4.6,797,Patna,1
Jawed Habib,Hairdresser,4.4,365,Patna,1
Dr. Ritesh Vatsa,Dentist,4.9,17,Patna,0
PATNA DENTAL & ORTHODONTIC CENTRE,Dentist,5.0,6,Patna,1
Vital Dental,Dentist,4.4,42,Patna,1
Dr. Kunal Kumar,Oral Surgeon,4.5,19,Patna,1
IZHAR DENTAL CARE,Dentist,5.0,53,Patna,1
The One Unisex Salon and Spa,Hairdresser,4.5,66,Patna,0
Look Create,Hair Salon,4.7,15,Patna,0
calvin and hobbes,Hair Salon,3.7,367,Patna,0
the salon,Hair Salon,3.4,76,Patna,0
Priya Gents Hair Cutting Centre,Hair Salon,4.4,37,Patna,0
Men's Park,Hair Salon,3.8,32,Patna,0
The Barber Salon,Hair Salon,3.9,15,Patna,0
Hazamat Saloon,Hair Salon,4.2,21,Patna,0
look,Hair Salon,2.9,18,Patna,0
Classic Touch Mens Salon,Hair Salon,4.0,12,Patna,1
Chahat Hair Style Saloon,Hair Salon,5.0,1,Patna,0
The Relax Unisex Saloon & Spa,Hair Salon,3.0,2,Patna,0
MISTY MENS PARLOUR,Hair Salon,5.0,6,Patna,0
Dharamveer saloon,Hair Salon,5.0,1,Patna,0
Krishna Hair Cutting Saloon,Hair Salon,0.0,0,Patna,0
THE CROWN SALOON & Spa,Hair Salon,0.0,0,Patna,0
Aryan's Gents Parlour,Hair Salon,5.0,4,Patna,0
JADEJA SALOON,Hair Salon,0.0,0,Patna,0
Rohan Hair Cutting Saloon,Hair Salon,0.0,0,Patna,0
AK GENTS SALOON,Hair Salon,0.0,0,Patna,0
MD QAYUM SALOON PARLOUR,Hair Salon,0.0,0,Patna,0
King & Queen Spa Centre,Spa,0.0,0,Patna,0
His & Hers Unisex Saloon,Hair Salon,0.0,0,Patna,0
The Gym City - Best Gym in Ashok Rajpath,Gym,3.5,201,Patna,0
FitBirds,Gym,4.8,148,Patna,0
FIT INDIA GYM,Gym,4.9,98,Patna,1
Champion Gym,Gym,3.9,62,Patna,0
Fitness Garage,Gym,4.4,196,Patna,1
Anytime Fitness,Gym,3.6,24,Patna,1
Hulk Fitness Gym - Best Gym Of Patna & Biggest Gym Of Patna,Gym,4.9,1416,Patna,1
Big Biceps,Gym,4.5,179,Patna,0
"Gold's Gym, Rajendra Nagar",Gym,4.0,793,Patna,1
GLOBAL GYM,Gym,4.5,756,Patna,0
JDS Enterprises (Afton Fitness Equipment Dealer),Gym,5.0,312,Patna,1
IRON'S FITNESS GYM,Gym,4.5,197,Patna,0
Fitnessvilla pro gym,Gym,4.7,176,Patna,1
Cross Fit Studio - Best Gym in Patna,Gym,4.8,544,Patna,0
