Name,Category,Rating,Reviews,Location_Area,Has_Website
Euphoric Spa - Best Spa In Wanowrie Pune | Spa Near Me Wanowrie Pune | Massage In Wanowrie Pune,Spa,4.7,39,Pune,1
Ban Sabai Wellness Spa,Spa And Health Club,4.5,146,Pune,1
New Sanjana Spa in Camp Pune,Massage Spa,4.8,299,Pune,1
Candle Spa,Spa And Health Club,4.8,57,Pune,1
A1 Night Spa I Best Massage Service in Hadapsar,Spa,4.8,77,Pune,1
Star Gold Spa Pune,Spa,4.5,76,Pune,1
SPA VILLA,Spa And Health Club,4.8,94,Pune,1
Diamond Bakery,Bakery,4.3,5027,Pune,0
"Theobroma Bakery and Cake Shop - M G Road, Pune",Bakery,4.7,571,Pune,1
Magic Oven,Cake Shop,4.9,695,Pune,1
Imperial Bakery,Bakery,4.3,1221,Pune,0
Pasteur Bakery,Bakery,4.1,742,Pune,1
Arkie's Born Bakers,Bakery,4.2,2201,Pune,1
OYA KEKARS - European Cakes,Bakery,4.9,343,Pune,1
Odette Patisserie Atelier,Bakery,4.9,92,Pune,1
Kayani Bakery,Bakery,4.5,21225,Pune,1
Bliss Bakery Cafe - Since 2004,Cafe,4.1,2648,Pune,1
Khodayar Bakery,Bakery,4.6,160,Pune,0
Husseny Bakery,Bakery,4.3,933,Pune,1
B&R Bakers,Bakery,4.9,138,Pune,0
Persian Bakery,Bakery,4.2,734,Pune,1
NAAZ Bakery,Bakery,3.8,425,Pune,0
Vardhaman Medical,Pharmacy,4.9,19,Pune,0
Ravi Medicals,Pharmacy,3.8,12,Pune,0
Gujar Medico,Pharmacy,5.0,1,Pune,0
MedPlus Jambhulwadi Raod Gawaliwada,Pharmacy,3.3,23,Pune,1
Krishna Medical & Surgical,Pharmacy,3.2,25,Pune,0
Kalyani Medicals,Pharmacy,2.8,4,Pune,0
Sunshine Wellness Spa,Spa And Health Club,4.8,64,Pune,1
SunShine Spa Massage Centre In Camp Pune,Spa,4.9,54,Pune,1
The Janizga Spa,Spa,4.6,91,Pune,1
Four Fountains De-Stress Spa,Spa,4.0,316,Pune,0
SUHANA SPA PUNE,Massage Spa,4.3,148,Pune,1
New Empire Bakery,Bakery,4.3,163,Pune,0
Baked Bites ~ Premium Desserts || Home Bakery || Pre-Order,Cake Shop,4.9,1047,Pune,0
"Theobroma Bakery and Cake Shop - Jangali Maharaj Road, Pune",Bakery,4.3,972,Pune,1
CrustWorthy Gourmet Breads,Bakery,4.9,185,Pune,1
New Poona Bakery - Best bakery in pune,Bakery,4.0,978,Pune,0
Maarus Bakers & cake shop - katraj bharati vidyapeeth,Bakery,4.9,391,Pune,1
Golden Bakery,Bakery,4.3,2209,Pune,0
The Hindu Bakery and Cafe,Bakery,4.5,147,Pune,0
